,TP9,AF7,AF8,TP10,Right AUX,timestamps
234,53.223,-14.160,-35.156,657.227,0.000,1737549844.318
235,73.242,-6.348,-30.762,999.512,0.000,1737549844.322
236,-0.977,-16.113,-33.203,540.039,0.000,1737549844.326
237,-87.402,-25.879,-33.203,-587.891,0.000,1737549844.329
238,-84.961,-36.621,-14.160,-662.109,0.000,1737549844.333
239,-7.324,-28.320,9.766,358.887,0.000,1737549844.336
240,60.547,-21.973,-1.953,992.676,0.000,1737549844.342
241,26.855,-35.156,-31.250,665.527,0.000,1737549844.346
242,-81.543,-31.738,-28.320,-514.160,0.000,1737549844.349
243,-112.305,-20.508,-18.555,-842.285,0.000,1737549844.353
244,-50.781,-15.625,-34.668,128.906,0.000,1737549844.357
245,43.457,-6.348,-23.926,934.082,0.000,1737549844.360
246,47.852,-7.812,5.371,642.090,0.000,1737549844.364
247,-70.801,-25.391,-7.324,-597.656,0.000,1737549844.367
248,-84.961,-28.809,-18.066,-966.797,0.000,1737549844.371
249,-10.742,-20.996,-18.555,-131.836,0.000,1737549844.375
250,30.273,-16.602,-20.996,635.742,0.000,1737549844.378
251,-12.207,-30.273,-27.832,493.652,0.000,1737549844.382
252,-91.797,-40.039,-21.973,-401.855,0.000,1737549844.388
253,-85.938,-25.879,-8.301,-825.195,0.000,1737549844.391
254,-60.547,-19.531,-10.254,-45.410,0.000,1737549844.395
255,-31.738,-12.207,12.695,835.938,0.000,1737549844.398
256,-58.105,-19.531,28.320,986.816,0.000,1737549844.402
257,-133.789,-33.691,28.320,428.223,0.000,1737549844.406
258,-213.379,-40.039,21.973,-99.121,0.000,1737549844.409
259,-186.035,-43.945,10.254,382.324,0.000,1737549844.413
260,-117.188,-26.367,23.926,912.598,0.000,1737549844.417
261,-125.488,-16.113,40.527,999.512,0.000,1737549844.420
262,-130.859,-35.645,31.738,506.836,0.000,1737549844.424
263,-168.945,-42.480,-1.465,-397.461,0.000,1737549844.427
264,-146.973,-29.785,1.465,38.086,0.000,1737549844.435
265,-46.875,-32.227,13.672,893.066,0.000,1737549844.439
266,-31.738,-29.297,13.184,904.297,0.000,1737549844.443
267,-65.918,-33.691,2.441,-17.578,0.000,1737549844.446
268,-137.207,-42.480,-9.766,-997.559,0.000,1737549844.450
269,-118.164,-28.809,3.906,-647.461,0.000,1737549844.453
270,-16.602,-14.160,15.625,269.531,0.000,1737549844.457
271,20.508,-24.414,15.137,511.230,0.000,1737549844.461
272,-42.969,-43.945,0.488,-275.391,0.000,1737549844.464
273,-104.492,-33.203,-18.555,-1000.000,0.000,1737549844.468
274,-35.156,-12.207,-17.090,-753.418,0.000,1737549844.472
275,30.273,-12.695,-9.766,101.074,0.000,1737549844.475
276,21.973,-21.484,-12.695,565.430,0.000,1737549844.482
277,-16.602,-25.879,-23.926,118.652,0.000,1737549844.485
278,-78.125,-27.832,-20.508,-779.297,0.000,1737549844.489
279,-89.844,-31.250,-3.418,-603.516,0.000,1737549844.493
280,-5.859,-29.297,-4.395,481.934,0.000,1737549844.496
281,106.934,-1.953,-8.789,999.512,0.000,1737549844.500
282,44.922,-12.207,-23.926,740.723,0.000,1737549844.504
283,-67.383,-37.109,-39.062,-305.176,0.000,1737549844.507
284,-24.414,-25.879,-30.273,-516.113,0.000,1737549844.511
285,16.113,-24.414,-16.113,513.672,0.000,1737549844.515
286,32.715,-22.949,-6.836,999.512,0.000,1737549844.518
287,20.508,-18.066,6.348,892.578,0.000,1737549844.522
288,-47.363,-14.160,5.371,103.516,0.000,1737549844.528
289,-60.059,-25.391,-5.859,-324.219,0.000,1737549844.532
290,-15.137,-28.809,-17.578,498.047,0.000,1737549844.536
291,32.227,-13.184,-20.508,999.512,0.000,1737549844.539
292,64.941,-11.719,-9.277,876.465,0.000,1737549844.543
